CódigoTransação,DataVenda,Status,FormaPagamento,Produto,Parcelas,ValorParcela,ValorVenda,ValorComissão,ValorTotalVenda,TipoCheckout,Vendedor
PPCPMTB5DHJ95M,15/02/2024 11:11:29,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G9KP,14/04/2024 05:59:18,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA979I,16/04/2024 17:42:31,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GGOO,14/04/2024 07:23:08,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GHAI,14/04/2024 07:25:50,Cancelado,Cartão de Crédito,Produto principal,2,50.69,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GAGA,14/04/2024 06:19:21,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAA85M,16/04/2024 20:45:43,Cancelado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9H57,16/04/2024 18:45:13,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G49G,14/04/2024 02:55:17,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GFM3,14/04/2024 07:16:19,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G50A,14/04/2024 03:21:58,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G59J,14/04/2024 03:31:48,Cancelado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAA7FM,16/04/2024 20:40:40,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G59O,14/04/2024 03:32:14,Devolvida,Cartão de Crédito,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAA3BG,16/04/2024 20:07:26,Rejeitado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G637,14/04/2024 04:02:05,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GG02,14/04/2024 07:17:17,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA985N,16/04/2024 17:47:32,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G6J4,14/04/2024 04:30:59,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9DD7,16/04/2024 18:22:01,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9EJ2,16/04/2024 18:29:46,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GC09,14/04/2024 06:39:30,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9E9F,16/04/2024 18:27:39,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GC3E,14/04/2024 06:41:15,Aprovado,Cartão de Crédito,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9DI9,16/04/2024 18:23:31,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GCD7,14/04/2024 06:45:42,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GCID,14/04/2024 06:47:49,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA986B,16/04/2024 17:47:39,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9D48,16/04/2024 18:19:46,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GD4I,14/04/2024 06:53:19,Charge Back,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA9AG0,16/04/2024 18:02:45,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GE0G,14/04/2024 07:00:58,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EA987N,16/04/2024 17:47:50,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9GE9P,14/04/2024 07:04:21,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAA132,16/04/2024 19:51:21,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5EAA0NA,16/04/2024 19:49:56,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF911O,08/02/2024 20:06:02,Cancelado,Cartão de Crédito,Produto principal,12,9.74,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DF93JA,08/02/2024 20:27:22,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9G9LJ,14/04/2024 05:59:43,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5E9EK8P,13/04/2024 19:03:40,Aprovado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
PPCPMTB5DD0OI4,01/02/2024 01:42:46,Expirado,Pix,Produto principal,1,97.0,97.0,91.25,"97,00",default,Produtor
